platform,category,product_name,rating,sentiment,review_content,review_date
coupang,컨실러,"더샘 커버 퍼펙션 팁 컨실러 6.5g, 1개, 내추럴 베이지",1.0,negative,"컨실러 효능은 전혀없고 그냥 다크한 비비크림 느낌?
근데또 비비크림이랑 비교하기에는 너무 매트해서 
가리려는 부위를 바르고나면 건조해서 주름이 보이는 단점 
휴대용이 한 부분빼면 장점이 안보임",2024-04-18
oliveyoung,maskpack,[민킴Pick/300만장판매] 하우스오브비 페이스필름 4매 (글루타치온/피디알엔),5.0,positive,"요즘 피부 톤이 칙칙해 보여서 관리용으로 구매해봤는데, 확실히 사용 후 촉촉하고 맑아 보이는 느낌이 있어요. 사용 전에 안에 들어있는 크림 먼저 바르고 필름을 올려주니까 밀착력이 훨씬 좋고, 들뜸 없이 착 붙어서 관리받는 느낌이 들고, 글루타치온 라인이라 그런지 사용하고 나면 피부가 한 톤 밝아진 듯한 느낌이 있고, 다음 날 화장할 때 피부결이 매끈하게 정돈된 게 느껴졌어요.",2026-04-27
musinsa,,아토베리어365 세라-히알 속수분 앰플 30ml,5.0,positive,마무리감이 끈적이지않고 촉촉하게 흡수되어서 부담없이 바르기 좋아요,
musinsa,,DMT 페이셜 수분 크림 150ml+추가증정,5.0,positive,늘 사용하는 제품으로 정착템입니다! 가볍고 촉촉한 크림 찾으신다면 추천입니다^^,
musinsa,,아토베리어365 크림 80ml,4.0,positive,무신사 뷰티 쿠폰 먹여서 역대가로 구매했는데 쓰기 좋아요,
musinsa,,아토베리어365 크림 80ml,5.0,positive,보습캡슐이 들어가서 촉촉해요. 역시 에스트라 짱,
oliveyoung,skincare,[속건조필수템] 웰라쥬 리얼 히알루로닉 블루 100 앰플 100ml 기획 (+원데이키트2ea),1.0,negative,너무 토너 같음 완전 흐름 바를 수가 없음 별로라서 다른 세럼 또 삼...,2025-12-01
musinsa,,그린 마일드 업 선 플러스 50mL 2개,5.0,positive,닥터지 선크림 사고 싶었는데 싸게 잘산거같아요!,
oliveyoung,skincare,[슈링크홈디바이스] 바이오힐보 프로바이오덤 콜라겐 세럼 30ml 기획,4.0,positive,"디바이스와 사용하려고 샀는데
무난합니다
겔 대신 이 앰플로 써요",2026-04-19
musinsa,,퍼펙트 세럼 80ml 2 pack,5.0,positive,가벼워서 막 바르기 좋고 촉촉해요 그리고 향도 좋아요,
musinsa,,이지온 세미 오버핏 스트라이프 카라 반팔 니트 (4color),5.0,positive,사이즈 걱정했는데 잘맞구요 여름에 어디든지 입기 좋을거 같습니다 다른색상도 고민중....,
coupang,클렌징오일,"티스 퍼펙트 오프 클렌징 오일, 230ml, 1개",5.0,positive,워터프루프마스카라까지 깨끗하게 잘 지워져요 재구매 각입니다^^,2023-06-28
oliveyoung,skincare,[증정기획] 헤브블루 살몬 PDRN 센텔라 크림 100ml 기획 (+연어 토너 25ml),2.0,negative,전에 쓰고 안 써서 잘 모르겠는데 이거 쓸 바엔 아누아 어성초 77로샨씋그ㅛ,2026-04-10
oliveyoung,maskpack,[NEW/열감쿨링] 닥터지 레드 블레미쉬 순무 시카 아이싱 패드 60매 리필 기획 (+60매 리필),1.0,negative,아직 사용은 한번했는데 괘찬은거 같아요 일단은 얇아서 딱 달라붙어서 좋더라구요~~~~=,2020-07-21
coupang,수분크림,"닥터지 레드 블레미쉬 시카 수딩 크림, 50ml, 2개",5.0,positive,"내가 군대에서부터 즐겨 쓰던 닥터지의 못보던 수분크림이 나왔길래 할인하고 있길래 빠르게 구매했다.
군대에서 닥터지 화장품은 유명한데다 가성비도 좋아서 P.X병한테 들어오면 알려달라고 말할 정도로 인기가 있고 구매 타이밍을 잘 잡지 못하면 선착순으로 털려서 구하기도 힘들었다.
나는 닥터지 수분크림이 P.X에 들어오자마자 빠르게 풀매수를 해서 7통정도를 한번에 샀었던거 같다. 눈치는 좀 보였는데 그정도로 눈치가지고는 닥터지 수분크림을 양보할 수는 없었다.
내 피부가 좀 야들야들하고 지성피부인 편이라 세안을 하고 나면 피부가 뻣뻣하게 당긴다. 그럴때 스킨로션을 발라주고 수분크림을 바르면 스킨로션만 발랐을 때는 피부가 좀 따가울 때가 있는데 수분크림을 발라주면 피부가 따꼼한게 진정이 된다.
수분크림의 냄새는 거의 무향에 가깝다. 조금 화학적인 내음이 조금 느껴지긴 하지만 냄새에 많이 민감한 분들이 아니라면 그렇게 신경쓰실 정도는 아니다. 다만, 닥터지 수분크림들은 향따위는 거의 신경쓰지 않는다. 좀 향긋한 냄새가 나면 좋을거 같은데 화학적 향만 좀 나는거는 아쉽다. 그래서 화학적인 향에 민감하거나 싫어하시는 분들에게는 추천하기 힘들다. 하지만 시카 수딩 크림은 나한테는 향이 거의 느껴지지 않았기 때문에 별로 신경 안쓰시는 분들에게는 추천한다.
100% 비건 포뮬라 수분 크림이라는데 비건? 고기 안먹는 사람한테 비건이라 하지 않는가? 화장품에 비건이라는게 들어가면 똑같이 동물성 성분을 배제하고 식물성 성분(제주 병풀) 위주로 화장품을 만든거를 비건이라고 하는 거 같다. 어쨋든 프랑스 EVE VEGAN 정식 인증을 받았으니 친환경에도 신경 쓴 화장품이다.
그리고 내가 남자라 화장품을 많이 못봐서 그러는데 점자 표기가 되어 있는 화장품은 처음본다. 많은 부분에서 신경 썼다는걸 알 수 있다.
각질-보습-자외선 케어의 기능이 있다고 하니까 피부 각질도 방지하고 보습으로 수분을 보충하고 어느정도 자외선을 막아주니 일석 삼조라 하겠다.
그리고 덤으로 기능성 여부에 미백 기능성이 있으니 피부에 수분 보급을 하면서 피부가 하얘지는 효과를 볼 수 있다.
두개가 한 세트로 나온 제품이기 때문에 할인받아 싸게 사서 많이 발라주면 되겠다.",2022-05-17
oliveyoung,maskpack,[1+1] 더샘 내추럴 마스크팩 1매 (알로에/레몬/녹차/허니/석류 5종 택 1),5.0,positive,쟁여놓기 좋아요 ~~! 막쓰기에 추천합니당 !! 냉장고에 넣어서 써용,2024-09-08
coupang,아이크림,"AHC 텐 레볼루션 리얼 아이크림 포 페이스, 35ml, 1개",5.0,positive,"3년간 계속 사용하고 있는 AHC 텐 레볼루션 아이크림입니다~^^ AHC 아이크림라은 AHC 전제품중에도 가장 유명하죠! 인지도에 걸맞게 믿고 사용하는 제품입니다!

저는 텐 레볼루션라인에, AHC 다른 아이크림라인도 새롭게 출시될때마다 사용했었는데. 저에게는 이라인 가장 잘 맞습니다-!!

ㅡ장점ㅡ

1. 성분: 나이아신마이드, 아데노산
인체 유사 콜라겐과 세포배양액을 함유되어 있어서, 쳐진 피부에 탄력케어에 도움을 줌

2. 효능: 미백&주름개선 효과에 탁월함
(+더불어 다른 기초과정제품들과 동일하게 건조함을 없애주는 효능 또한 좋습니다! 주름은 노화외에도, 얼굴 수분보습이 잘 안되서 건조하면 생기기 쉽죠. 이점 또한 간과하지 않은 제품입니다)

3. 촉감&보습력&무향
콜라겐 성분이 들어 갔다는게, 바르기전 손에 짰을때 크림 제형 촉감이 매우 부드럽고! 원하는 부위에 툭툭 살짝 두들겨서 발랐을시 적당한 유수분기가 잘 흡수됨. 이로 인해 바른 부위가 매끄럽게 채워짐이 느껴져서 좋습니다-!!

특히 취짐전 세안하고 발랐을때, 다음날 일어났을때도 바른 부위가 건조하지 않고 탱탱히 유지됨이 느껴집니다

4. 원하는 얼굴 전부위 사용가능
눈밑외에도, 이마주름 팔자주름 입술밑라인 목주름까지 발라주고 있는데 동일하게 효과를 보고 있어서 좋습니다

5. 박스뒷면란에 사용방법(아이스팟 트리트먼트/페이셜 토탈 트리트먼트)&시간대별 사용TIP(진정케어/블랜딩시너지케어/나이트케어)까지 자세히 기재되 있음, 참고해서 바르면 효과 UP

6. 아이크림 본연의 기능과 효능이 극대화된 제품임에도, 착한 가성비 금액: 부담감없이 사용할 수 있어서 좋습니다-!!
아무리 비싼제품 사용해도, 아깝다고 덜 바르면 안되는게 아이크림이라고 생각합니다! 원하는 부위에 적당량 듬뿍 바르면서 효과도 지속적으로 이어가니 매우 만족스럽습니다

7. 넉넉한 소비자 유효기간 

ㅡ단점ㅡ
無/없습니다",2026-04-01
musinsa,,히어로 마이 퍼스트 세럼 a.k.a. 만능기초 155ml,5.0,positive,수부지 피부에 좋음 계절 상관 없이 쓸 수 있고 피부결도 좋아지고 무겁지 않아서 지성 피부가 써도 ㄱㅊ,
musinsa,,살롱10 단백질 에센스팩 990ml (손상모/극손상모)+샴푸30ml+샤쉐 증정,5.0,positive,미장센이 롱런하는 이유가 있어요 제품력이 아주 좋네요,
oliveyoung,cleansing,[대용량] 메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 500ml,5.0,positive,작은 용량의 제품을 사용해봤는데 자극적이지않고 클렌징이 잘 되어 만족스러워서 큰용량의 제품으로 재구매했습니다 !!,2023-07-10
oliveyoung,maskpack,[초밀착/미백광채]메디큐브 PDRN 핑크 콜라겐 토닝 겔 토너 패드 70매+10매,5.0,positive,좋아요 나오자마자 너무 써보고 싶었는데 품절이라 못샀다가 드디어 샀어요 패드가 원래 알던 면 재질이 아니고 겔로 된 재질이라 확실히 드라이기로 머리를 말릴때나 안떨어지고 좋더라고요 특히 보통 토너패드 붙이고 앞머리 있으신 분들 앞머리 말리면 바로 떨어지기 일수인데 이건 진짜 안떨어지고 딱 잘 붙어있어요. 이제 이거로 정착해야지 눈썹 부분도 안떨어지고 착붙이라 개꿀 아임 쏘 해피,2025-03-17
musinsa,,[10ml 추가 증정] 레이저 UV 썬스크린 50ml+50ml,5.0,positive,화잘용 썬크림 찾다가 후기가 좋아서 구입해 봤어요. 아직 사용전이라 잘 모르겠지만 일단 싸게 사서 좋습니다.,
oliveyoung,maskpack,[밀착진정] 듀이트리 AC 딥 진정 마스크 1매 (열감/흔적),5.0,positive,열감 진정 마스크와 같이 주문했는데 진정에 효과가 있는것 같아서 괜찮았습니다 시원하게 사용하면 효과가 더 좋았어요,2026-02-14
musinsa,,울트라리페어 로션 350ml 2 pack + 트러블 미스트 30ml 증정,5.0,positive,알레르기 때문에 피부가 상시 민감인 상태입니다. 피부가 너무 자극받아 몇달동안 고생했는데 이녀석 삼사일 꾸준히 바르고 말끔히 나았어요. 향기가 있고 유분기가 많은 것 같이 좀 걱정하면서 썼는데 제 피부에선 트러블도 없고 자극도 전혀 없이 잘 맞았어요. 잘 쓰고 있습니당 ❤️,
oliveyoung,cleansing,[말끔모공] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,3.0,neutral,중간중간 검은 알맹이? 그게 좀 많이 따가워요ㅜㅜ 극지성인데 예민하지 않으면 ㄱㄱ,2026-05-26
coupang,나이트크림,"AHC 바이탈 골든 콜라겐 크림, 50g, 1개",5.0,positive,"AHC 바이탈 골든 콜라겐 크림 사용 후기 (50g)

요즘 피부가 푸석해지고 탄력이 떨어진 느낌이 들어서 콜라겐 크림을 찾아보다가
AHC 바이탈 골든 콜라겐 크림을 사용해보게 됐어요.
이름처럼 “콜라겐 + 영양감”이 확실히 느껴지는 제형이라 첫 사용부터 만족도가 높았어요.

먼저 뚜껑을 열면 골드빛이 살짝 도는 쫀쫀한 크림 제형이 눈에 띄어요.
손등에 올려보면 꾸덕한데, 피부에 문지르면 부드럽게 녹아들면서
무겁지 않게 탄력감 있는 수분막이 싹 올라오는 느낌이라 촉촉함이 오래 유지됩니다.

✔ 바르는 순간 쫀쫀함 + 탄력감

피부에 올리면 탱글하게 밀착되는 느낌이 좋아요.
바르고 10~20초 지나면 피부 위에 촉촉하게 광이 돌면서
피부결이 한 번 정리되는 듯한 탄력감이 느껴져요.
건조한 부분이 많은 U존에 바르면 특히 효과가 더 잘 느껴졌어요.

✔ 흡수력 & 마무리감

겉보기에는 진하고 무거운 크림처럼 보이는데
막상 바르고 나면 끈적하지 않고 매끈하게 마무리되는 타입이라
아침·저녁 둘 다 사용하기에 부담 없어요.
아침에 바르고 메이크업 해보니 베이스가 훨씬 잘 먹어서 깔끔하게 밀착되더라고요.

✔ 밤에 듬뿍 바르면 ‘다음날 광’

저는 자기 전에 조금 넉넉하게 올리는데
다음날 피부결이 훨씬 매끄럽고 촉촉해서 화장도 훨씬 잘 먹었어요.
피부가 건조할 때는 이 크림 하나만 발라도 충분히 영양감이 채워지는 느낌입니다.

✔ 향과 사용감

향도 강하지 않고 은은해서 매일 쓰기 좋고,
피부에 자극 없이 부드럽게 펴 발려서 민감한 날에도 부담이 없었어요.

 총평

✔ 콜라겐 크림 특유의 탄력감을 확실히 느끼고 싶은 사람
✔ 건조하고 푸석한 피부에 영양감 채우고 싶은 사람
✔ 밤에 듬뿍 바르고 ‘다음날 피부결 정돈’을 원하는 사람

이런 분들에게 딱 맞는 제품이에요.
촉촉·쫀쫀·탄력감이 다 느껴져서 꾸준히 바르기 좋은 콜라겐 크림입니다.",2025-11-25
